"";"level";"Overall"
"n";"";"65"
"Genero (%)";"F";"29 (44.6) "
"";"M";"36 (55.4) "
"Tipo_Histologico (%)";"G1";"26 (40.0) "
"";"G2";"19 (29.2) "
"";"G3";" 4 ( 6.2) "
"";"D";"12 (18.5) "
"";"CC";" 4 ( 6.2) "
"Presenca_Metastase (%)";"Não";"52 (81.2) "
"";"Sim";"12 (18.8) "
"Local_Recidiva (%)";"Não";"56 (87.5) "
"";"Sim";" 8 (12.5) "
"Obito (%)";"Não";"53 (81.5) "
"";"Sim";"12 (18.5) "
"Localizacao (%)";"apendicular";"47 (72.3) "
"";"axial";"18 (27.7) "
"Tipo_Cirurgia (%)";"ampla";"37 (56.9) "
"";"intralesional";" 7 (10.8) "
"";"marginal";" 1 ( 1.5) "
"";"radical";"18 (27.7) "
"";"radioterapia";" 1 ( 1.5) "
"";"sem tratamento";" 1 ( 1.5) "
"Estadiamento (%)";"IA";"20 (30.8) "
"";"IB";"10 (15.4) "
"";"IIA";" 9 (13.8) "
"";"IIB";"22 (33.8) "
"";"III";" 4 ( 6.2) "
"tempo.diagnostico (%)";"< 3meses";" 9 (13.8) "
"";"3 a 6 meses";" 9 (13.8) "
"";"6m a 1 ano";"15 (23.1) "
"";"1 a 3 anos";"23 (35.4) "
"";"> 3 anos";" 9 (13.8) "
